id,country,status,amount
36001,Italy,compoletd,2940.468704162141
36002,China,pending,371.55526565643913
36003,USA,completed,2426.1090808688446
36004,USA,pwnding,80.32907807439935
36005,Spain,pending,272.59546725271105
36006,Spain,complete,3287.1745564709286
36007,Spain,fialed,4118.271864204722
36008,China,pending,4949.393278389469
36009,Belguiun,pending,1919.1008959701226
36010,Spain,pwnding,270.8620351815649
36011,Spain,fialed,1538.742608764199
36012,Spain,completed,3958.815197853691
36013,China,failed,2432.2378183943424
36014,Germany,pwnding,1960.0674461178758
36015,Spain,pending,3323.1760104610557
36016,Spain,pending,2014.07274224649
36017,Spain,fialed,2627.18097603745
36018,Spain,completed,3116.9628501116777
36019,USA,completed,4427.347688057453
36020,Spain,pending,1980.8078099803781
36021,Belgium,pending,338.94660306621114
36022,Italy,pending,183.55658393422763
36023,Itakly,fialed,3471.2052159207087
36024,Germany,pending,4229.059667060864
36025,USA,pending,4918.529113978628
36026,Italy,fialed,793.1628415845298
36027,Belguiun,pending,2045.1224286145302
36028,Spain,completed,3972.8297513976177
36029,Germqany,failed,2313.1532851910406
36030,USA,pending,4472.481406679156
36031,Spain,completed,3547.578130838167
36032,Sopain,fialed,4106.867956622342
36033,Italy,failed,4068.1866731933724
36034,Spain,completed,3394.6184886635833
36035,Germqany,completed,663.4232362951851
36036,Spain,pending,4280.611395654556
36037,Spain,completed,4342.31764921477
36038,Spain,fialed,3530.0788680380642
36039,United States of America,completed,321.80599192671843
36040,Spain,pending,4320.770893893279
36041,Spain,completed,3408.523078142074
36042,Germany,completed,1807.2926163396746
36043,Spain,failed,1858.9561231479413
36044,Spain,completed,1176.2362178150527
36045,Sopain,pending,2333.5261772134572
36046,Itakly,fialed,2335.8380734663456
36047,USA,pending,3118.9811304112936
36048,Spain,completed,383.66889846238627
36049,China,fialed,3944.9746107689334
36050,Germany,pending,2475.9899456472253
36051,Belgium,failed,3606.7517016555257
36052,Italy,pending,4385.170848813838
36053,Spain,pwnding,2433.1476800537653
36054,Spain,completed,638.0096852399068
