id,country,status,amount
2001,Germany,fialed,4500.281267622144
2002,Spain,completed,966.1067109982545
2003,Spain,completed,3959.576928043002
2004,Italy,pending,1481.9789493693074
2005,Germany,fialed,2876.907580440786
2006,USA,failed,2535.3906455070487
2007,Spain,completed,2113.6812770056513
2008,Spain,completed,3395.0061793951973
2009,Spain,completed,2242.9783902065146
2010,Spain,pending,2527.394179996714
2011,Italy,completed,3697.30148951069
2012,Spain,pending,238.5576671374896
2013,China,pending,4131.06460080383
2014,Spain,completed,2320.02517358027
2015,Spain,completed,2298.136629979937
2016,Belgium,completed,4945.0603865459125
2017,Italy,pending,1769.2300758788608
2018,Germqany,pending,475.74828338901324
2019,Germany,pending,2171.985395352371
2020,Spain,completed,3042.6296580104786
2021,China,pending,3541.951049891406
2022,Spain,pending,3682.6346432184555
2023,Spain,completed,366.81839288701826
2024,Itakly,compoletd,4613.132618236632
2025,Italy,fialed,4227.279117607151
2026,Spain,completed,1006.8063045326662
2027,Italy,pending,2909.7245210625747
2028,Cvhina,pendhing,2337.997667788783
2029,Sopain,pwnding,1914.6275480198603
2030,USA,pwnding,2896.5029659812944
2031,Spain,pwnding,2344.2227934853627
2032,Spain,completed,3580.294996655012
2033,Itakly,failed,1102.402379896805
2034,Belgium,compoletd,841.3734535569934
2035,Spain,complete,3442.567325963763
2036,Italy,completed,1581.1118130718621
2037,Spain,pending,4043.0764172823383
2038,Spain,fialed,2864.0161548526794
2039,Belgium,completed,4219.528664677518
2040,Italy,completed,4110.836010733153
2041,Belguiun,pwnding,2180.9418150399592
2042,Spain,pending,3683.5719906483964
2043,China,pending,3915.2340877574075
2044,Germqany,completed,267.9583066441857
2045,USA,pending,4954.84147470758
2046,Germqany,pending,4623.528849737282
2047,Germqany,completed,2954.521697830909
2048,Italy,pending,974.9503867892234
2049,Spain,completed,2762.668542339848
2050,Spain,completed,2330.5244221655266
2051,Spain,pwnding,3845.534757565113
2052,Belguiun,pending,2146.4382716754462
2053,Spain,fialed,1044.7767700059371
2054,Spain,failed,4669.933796858345
2055,Italy,pendhing,261.0522575206071
2056,Spain,pending,1746.973398610586
2057,China,completed,536.0570091516299
2058,Belgium,completed,3288.7172755319666
2059,Spain,pending,1853.1053056786554
2060,China,failed,668.2419028927663
2061,USA,fialed,3342.53618283706
2062,USA,pwnding,4826.232705215144
2063,Spain,fialed,609.1947311042936
2064,Spain,pending,2580.2053347778306
2065,Germany,pending,1060.9757269659112
2066,Spain,pending,1131.633941528276
2067,Spain,pending,2082.289562347205
2068,Spain,pwnding,4839.741885099016
2069,Spain,fialed,1600.0342103578582
2070,Spain,pending,836.5820125657756
2071,Spain,pending,991.5277769638559
2072,Spain,pending,428.99319634147275
2073,Spain,fialed,1186.5611754056338
2074,China,pendhing,2607.5646586182615
2075,Belguiun,pending,1656.5143271387847
2076,Spain,pending,1300.5691039949186
2077,Italy,completed,3366.7562385610613
2078,Germqany,completed,4380.970620174994
2079,Spain,pending,3585.0706300346387
2080,Spain,completed,4340.225037601629
2081,Belgium,pending,928.7892576822195
2082,USA,completed,4016.7258830082405
2083,Italy,fialed,811.0864600951696
2084,China,completed,2325.0503909773242
2085,Spain,pending,3984.64025171063
2086,Sopain,pending,86.35563591131407
2087,China,completed,2484.1111926423405
2088,Spain,completed,85.48083055901648
2089,Spain,pending,4523.151962248511
2090,United States of America,pwnding,1353.098173842072
2091,Spain,pending,534.4317279807706
2092,Belguiun,fialed,1246.9366573958891
2093,USA,compoletd,211.78710771839025
2094,Spain,pwnding,3262.2745256131134
2095,Germqany,pending,4293.075931486253
2096,Spain,failed,3049.5194031429946
2097,Italy,pendhing,3999.3677909237126
2098,Sopain,pending,1297.7686714236002
2099,Cvhina,pwnding,2502.396903366463
2100,Spain,completed,1760.1068082905128
2101,Spain,completed,3643.6056333067345
2102,Sopain,completed,2268.975025039647
2103,Germqany,pending,4455.1703248605345
2104,USA,pending,3280.057821439646
2105,Germany,completed,4043.1555099209527
2106,USA,completed,641.4281199430169
2107,Spain,pwnding,386.0000139744383
2108,Cvhina,completed,507.50116014529755
2109,Belguiun,completed,3171.9788602267527
2110,China,fialed,4771.398401037439
2111,Spain,failed,3464.010622774762
2112,China,pending,1723.6270328031314
2113,Itakly,completed,4601.479247298815
2114,Spain,pending,1048.6639071347527
2115,Spain,fialed,2126.592482422026
2116,United States of America,fialed,810.4715048071082
2117,United States of America,pending,3876.7097173965903
2118,Spain,compoletd,147.17570766004164
2119,Belguiun,completed,1909.6190250911861
2120,USA,completed,4235.088226000895
2121,Itakly,pending,3361.606177133645
2122,Spain,completed,4593.852195010366
2123,USA,completed,4621.138054759563
2124,Belgium,completed,3339.9885614368163
2125,USA,pwnding,3668.528509953703
2126,Spain,failed,323.8187475423075
2127,Sopain,pending,2888.26257582202
2128,Germany,completed,3525.1766436293856
2129,Cvhina,completed,1992.1747305524239
2130,Spain,complete,1207.236125276522
2131,Germany,completed,4480.742022453426
2132,Italy,completed,2787.530428122278
2133,Spain,pending,2275.957437249992
2134,Sopain,faoleid,1748.1348041564174
2135,USA,pending,4934.813436713485
2136,China,complete,3953.8979116661485
2137,Spain,pending,2949.1677308891467
2138,Italy,pending,1436.9240436347468
2139,Germqany,pending,547.2565797049883
2140,Spain,completed,2409.6643919622625
2141,Italy,completed,2015.5221258383006
2142,Spain,completed,3877.348903968199
2143,Germqany,pwnding,3637.253351359926
2144,Italy,faoleid,2041.925884227384
2145,Italy,failed,3593.0598347478494
2146,Spain,pending,2544.5869818911547
2147,Belguiun,compoletd,162.15095961614134
2148,Belgium,pending,4167.306388159779
2149,Italy,completed,1924.1438680369154
2150,Spain,completed,2580.8426791683323
2151,Itakly,pending,2294.531302549098
2152,Belgium,completed,4516.458248573983
2153,Germqany,pending,1980.7132448121406
2154,Spain,pending,4610.688380172458
2155,USA,compoletd,3140.6867481223353
2156,Spain,completed,415.3917814537154
2157,Italy,completed,3510.471827467171
2158,Spain,pwnding,2824.4161757985858
2159,Belguiun,failed,4971.469348321356
2160,USA,pending,4346.201656303732
2161,Germqany,pending,547.9844989357941
2162,Italy,completed,3360.7736439670343
2163,Italy,completed,1493.0519983287857
2164,Spain,pending,2427.957674893585
2165,USA,completed,1449.123422878499
2166,Italy,completed,905.5513441077442
2167,Belgium,pending,4023.480611328509
2168,Cvhina,pending,565.0139787378671
2169,China,pending,2495.721318194392
2170,Spain,faoleid,2598.4349828347417
2171,Spain,completed,1511.4701315152486
2172,Germqany,pending,3955.3485214702573
2173,Spain,completed,2467.635914656827
2174,Germany,pending,2345.4588348728103
2175,Germany,failed,1090.9291303706511
2176,China,pwnding,2029.3682378313924
2177,Spain,completed,623.7045316492402
2178,USA,completed,4702.849745832763
2179,Sopain,completed,4818.546208232988
2180,Spain,pending,1328.0747647775522
