id,country,status,amount
12001,USA,completed,1589.8332785343976
12002,Germany,failed,546.2318479040478
12003,USA,completed,4947.255224405292
12004,China,completed,1187.5511676942895
12005,Spain,pending,1353.549149974818
12006,Germany,completed,4992.031615694385
12007,Spain,pending,3989.011125962491
12008,Sopain,completed,2392.478786060011
12009,Spain,pending,1078.5408832968074
12010,Belgium,pending,1117.4194386431143
12011,Spain,pending,2145.774108700604
12012,Sopain,completed,3394.280060558704
12013,Spain,pending,481.40392739913125
12014,Spain,pending,2169.377761567731
12015,Germqany,fialed,2375.729241534018
12016,Spain,completed,4096.400301483478
12017,Italy,pending,1520.9365374269655
12018,United States of America,pending,587.0108131149319
12019,USA,completed,2007.6250592942
12020,Spain,pending,2087.7710375739757
12021,Italy,pending,464.1447498426942
12022,Spain,completed,309.5827640741375
12023,China,compoletd,2386.4520815037954
12024,Itakly,complete,4333.795890285227
12025,Belgium,pending,2137.354778340036
12026,Belgium,pending,358.4807499297139
12027,Cvhina,pending,3988.7647903473867
12028,Italy,pending,3013.698068459549
12029,Spain,pending,616.9550101590406
12030,China,pending,3479.906731583717
12031,United States of America,completed,1041.167393234804
12032,Italy,pending,2005.2235103090836
12033,Italy,pending,757.6114616776238
12034,Germany,pending,4902.550300623163
12035,Spain,completed,2312.3442240874897
12036,Spain,pending,4633.560745634849
12037,Italy,completed,271.40918890766835
12038,USA,pending,2409.489675667142
12039,Italy,completed,4813.855361407678
12040,Italy,fialed,4297.137749782197
12041,Germqany,pending,3910.6924403524067
12042,Spain,completed,2275.4095530354825
12043,USA,completed,4920.838380661727
12044,Spain,pending,1540.009867372574
12045,Germqany,completed,4650.213831082076
12046,Belguiun,pending,804.9452787719092
12047,USA,completed,2976.628086387818
12048,Sopain,pending,4643.031591956713
12049,Spain,completed,986.421188750901
12050,Spain,completed,1671.2451254249834
12051,Belgium,pending,1021.9676031104032
12052,Spain,failed,2649.541906335221
12053,Sopain,completed,1964.2375593603279
12054,Spain,completed,4190.44553816585
12055,China,completed,3457.6132751710275
12056,Italy,completed,3003.720209307309
12057,Spain,compoletd,3512.2218157013194
12058,Spain,pending,2953.7325559425053
12059,Spain,pending,1462.7997928862098
12060,Itakly,pending,2217.987350400035
12061,Spain,pending,2157.0062448204667
12062,China,completed,1057.0595215002832
12063,Spain,completed,534.0845070491835
12064,USA,completed,2855.3344169726497
12065,Germqany,pending,1266.8350294889308
12066,Italy,pending,3438.9176345248748
12067,Spain,pending,1466.3728474470931
12068,Belguiun,completed,4124.428982141124
12069,Spain,pending,863.4033926785115
12070,Spain,pending,2514.9264249918538
12071,Sopain,completed,4117.647559764957
12072,Belgium,completed,2568.634489962105
12073,Belgium,failed,3201.784520745634
12074,Sopain,fialed,1860.055346388887
12075,Spain,pending,2685.4808906754447
12076,Belgium,failed,4786.620346938041
12077,Spain,failed,2999.705228032153
12078,Cvhina,pending,4859.089867615223
12079,Italy,completed,2405.949755963283
12080,Cvhina,pending,3038.971307343377
12081,China,pending,2965.3718887233044
12082,USA,completed,1072.2537909128669
12083,Spain,pending,938.2972767774357
12084,Germany,pwnding,3578.09839977615
12085,Spain,pendhing,3949.592172014514
12086,Belguiun,pending,1206.18652554553
12087,Germqany,compoletd,3420.5914008853456
12088,Spain,faoleid,101.53858163399613
12089,Spain,pending,3626.920180805885
12090,Italy,completed,2237.111232417816
12091,USA,completed,1770.8158723478944
12092,Spain,pending,4611.179087706718
12093,Spain,completed,2896.311401551977
12094,China,failed,4968.142297057715
12095,Spain,completed,3231.397002659173
12096,Spain,compoletd,381.46356172995127
12097,Spain,pending,2774.4071341367076
12098,USA,pending,829.0637464294871
12099,Germqany,pending,988.9540103873915
12100,Spain,pending,3816.7478457945845
12101,Spain,completed,1517.933897977429
12102,Cvhina,pending,794.7758386973185
12103,China,failed,537.661684203141
12104,Sopain,completed,3841.167201255257
12105,Italy,completed,2564.882976425045
12106,Spain,pending,816.3424816910801
12107,Spain,completed,2841.8560642349144
12108,Germqany,pending,745.9256632587285
12109,Spain,completed,1836.7544912044857
12110,Spain,completed,3634.1496472922686
12111,Belgium,completed,1342.1697792704924
12112,Spain,completed,2483.057317570542
12113,Sopain,completed,2415.7197708810154
12114,Spain,completed,1607.5142231030843
12115,Itakly,faoleid,2739.9340255521547
12116,Spain,completed,1983.5837581980786
12117,Spain,pending,2866.7372144987235
12118,Spain,pending,236.62442299390634
12119,Spain,pending,4195.014399853203
12120,Spain,completed,3522.1419410783787
12121,Spain,pending,4200.901742037145
12122,Spain,fialed,3476.394221531545
12123,Italy,faoleid,2124.6676109188893
12124,Spain,completed,153.34083178724376
12125,Spain,pending,3461.8846928319276
12126,Spain,fialed,54.1677386209184
12127,Spain,pending,4274.858118382248
12128,Sopain,completed,1156.2153624561586
12129,Sopain,pending,252.3535093724349
12130,Spain,completed,4506.434897534266
12131,Spain,faoleid,3442.387596224824
12132,Sopain,pending,3777.2154920447874
12133,USA,completed,4986.280045776858
12134,USA,pending,4350.984123279088
12135,Spain,fialed,4631.849806619727
12136,Spain,pending,592.0378644295904
12137,USA,completed,3726.8048298956824
12138,Germqany,pending,3904.064675098265
12139,Spain,pending,628.0957520710346
12140,Cvhina,failed,3214.7982969052687
12141,Spain,pending,779.460639096443
12142,Spain,fialed,3046.0667387810972
12143,USA,fialed,4139.051971128032
12144,Germany,pending,422.18255637072986
12145,Spain,completed,2630.1553415985913
12146,Spain,completed,2097.6056139088914
12147,Spain,pending,1496.05681938516
12148,Spain,completed,1199.1055021249624
12149,Italy,pending,2960.0110741375915
12150,Germany,completed,135.63668358511654
12151,Belguiun,failed,4467.963166006495
12152,China,pending,2259.860055922227
12153,Spain,completed,4782.454850322279
12154,Spain,completed,148.31344162241916
12155,Spain,pending,1750.2075407087914
12156,Spain,completed,898.2098120122598
12157,Spain,failed,2464.4582054199436
12158,Spain,pwnding,1455.2057206383363
12159,USA,failed,204.91482353132886
12160,Spain,fialed,3964.1678467495117
12161,Italy,failed,4862.119369590605
12162,USA,pending,1820.776012163241
12163,Spain,pending,3085.2624925072982
12164,Italy,completed,221.15291337600672
12165,Spain,completed,381.93562762170694
12166,Germany,fialed,2925.0417659361697
12167,Germany,completed,4767.680090318299
12168,Spain,completed,2694.774721229986
12169,USA,pending,3734.1157416883993
12170,Spain,pending,3040.182469072664
12171,Belgium,pending,2148.5537168032915
12172,Cvhina,completed,2508.7733314286083
12173,Spain,pending,1034.7596998161343
12174,Spain,faoleid,3948.018041597619
12175,United States of America,pwnding,3153.8743420199103
12176,USA,pending,2036.133616529017
12177,USA,pending,587.8972179852833
12178,Germqany,failed,536.9482253441599
12179,Spain,pending,1186.0346069685577
12180,Spain,pending,233.9807101172138
12181,Belgium,pending,2697.495651833224
12182,Belgium,complete,2767.1359548130604
12183,Spain,pendhing,4724.20966945399
12184,Spain,completed,2228.5807250342123
12185,Spain,failed,4161.088701484587
12186,Italy,completed,1365.207233825756
12187,Belgium,failed,2166.239123862863
12188,Germqany,pending,1227.2301025335555
12189,Itakly,faoleid,1912.4679144466163
12190,Spain,pending,1701.8672062395
12191,Spain,pending,448.5397940088682
12192,Spain,failed,3982.0464057763443
12193,Germany,pending,4209.336778857746
12194,Sopain,pending,3450.920726662592
12195,USA,completed,3431.677240471629
12196,USA,pending,1088.9325936716118
12197,Germany,completed,1687.8201477447606
12198,Spain,pending,4658.469925581639
12199,China,pending,1478.8804496258533
12200,Spain,compoletd,3909.043617476677
12201,Italy,complete,1514.0750762805137
12202,Belgium,completed,3587.0969803162034
12203,Sopain,completed,1536.0509023897544
12204,Spain,pending,1351.1755393994022
12205,Spain,completed,1528.7554386350948
12206,Spain,completed,2994.8498262895887
12207,Germqany,pending,2207.2783104318996
12208,Itakly,fialed,1164.536317406637
12209,USA,pending,379.3590876094482
12210,Spain,pending,2155.32872071122
12211,Spain,pending,4771.06091589827
12212,Spain,pending,4480.607223371947
12213,Spain,failed,1368.1926619396975
12214,Spain,pwnding,2737.2824784960176
12215,Germqany,fialed,1546.4734995301258
12216,Germqany,pending,4308.886517188116
12217,Germany,pwnding,2138.69182699712
12218,United States of America,fialed,4199.995819912856
12219,Italy,pending,3977.776519679989
12220,Italy,pending,267.2968703491466
12221,Spain,completed,1810.6842626981604
12222,China,pwnding,3820.1986671199256
12223,Spain,pendhing,549.0636692544208
12224,USA,completed,223.82877657281466
12225,USA,completed,4061.605511659158
12226,Spain,completed,2284.1293988981715
12227,Spain,pwnding,1849.3233096783272
12228,Italy,pending,2074.0900266569315
12229,Sopain,pending,2227.1847618574247
12230,Itakly,fialed,1257.5749034291948
12231,Sopain,failed,547.3358052187448
12232,Belgium,completed,724.319464192512
12233,Germany,pending,2474.600120122395
12234,China,failed,3108.978355813767
12235,United States of America,completed,1590.7342216359787
12236,Belguiun,failed,4611.436631713823
12237,USA,pending,1114.633609092626
12238,Spain,completed,61.46758658020519
12239,Spain,completed,232.000407675682
12240,Spain,pending,3145.4915618364394
12241,Italy,compoletd,635.9784278381162
12242,China,completed,1196.4289436838617
12243,Spain,pending,1608.726482362955
12244,USA,pwnding,3135.5031748866386
12245,Belgium,failed,1365.9491839315804
12246,Spain,fialed,4183.26703533445
12247,USA,pwnding,1396.8164063038644
12248,Germqany,completed,1844.5635787685374
12249,Sopain,pending,1657.9993239407931
12250,Spain,completed,3175.399020402966
12251,Spain,completed,270.2219610642543
12252,Spain,completed,3532.942605548475
12253,Italy,pending,381.78443012830877
12254,Spain,completed,1944.3604698034176
12255,Sopain,completed,1745.681014522804
12256,USA,completed,1074.8879460761523
12257,Spain,pending,4359.7065361774285
12258,Spain,pending,1591.2654509744054
12259,Spain,completed,3788.3861015260977
12260,USA,pendhing,3377.290908708482
12261,Belgium,pending,4623.632131802844
12262,Spain,completed,915.2328806632997
12263,Itakly,pending,4389.999098613236
12264,Spain,pwnding,4222.200086737251
12265,Spain,completed,1687.5368128696011
12266,Spain,pwnding,1889.8213997443804
12267,Itakly,pending,499.59011773746374
12268,Germqany,completed,4786.700640183722
12269,USA,pending,3950.2197301870533
12270,Itakly,completed,4823.994402211945
12271,Germqany,compoletd,4028.081278405416
12272,Spain,pending,2945.6395367041696
12273,Spain,failed,1098.8825090879216
12274,Italy,completed,4981.705897433044
12275,Spain,failed,562.5986493427116
12276,Germany,pending,3577.024741028751
12277,Germany,completed,1033.0663284441994
12278,Spain,fialed,757.1790957382332
12279,USA,pending,4657.376575076779
12280,Spain,pending,342.03549004952214
12281,Spain,pending,1219.006977221702
12282,Spain,completed,3436.2981353916994
12283,Itakly,completed,2780.011644442389
12284,Spain,completed,4661.884999501235
12285,Spain,failed,3909.4284341479165
12286,Spain,pending,3695.860220648317
12287,Spain,failed,3948.847706351266
12288,Itakly,pending,3903.378642709836
12289,Spain,completed,1200.4519693084212
12290,China,pwnding,1985.029734814515
12291,Spain,pending,3194.7510502522778
12292,Spain,complete,544.0580924685248
12293,Spain,pending,1514.5521415627402
12294,Sopain,pendhing,3247.27643116914
12295,Spain,complete,4590.441686086586
12296,Italy,pending,2183.428623431242
12297,Spain,completed,3822.0910998546474
12298,Italy,pending,4257.263619935903
12299,China,completed,3067.8966583920687
12300,Italy,complete,3291.0057179916284
12301,USA,failed,3145.677325823409
12302,Germany,complete,2054.7714216512218
12303,Itakly,failed,2921.940359136096
12304,Spain,completed,4102.206977003333
12305,Spain,failed,4574.431195887543
12306,Italy,pending,4409.85659469691
12307,Spain,pending,1067.3535556977558
12308,Spain,completed,227.54281454771817
12309,Spain,pending,2908.078315340026
12310,USA,pending,3227.2277646418493
12311,Spain,pending,875.9926641137353
12312,Spain,completed,1605.0811087276838
12313,Spain,pendhing,700.1871733514763
12314,Germqany,completed,501.25614841479967
12315,Germany,pending,3110.9178045656627
12316,Belguiun,complete,3441.9596929176255
12317,Belgium,pending,1943.3406279024869
12318,Spain,completed,2888.2328423545778
12319,Italy,pending,1850.1679668542956
12320,Spain,failed,815.2840379292146
12321,Italy,pending,3239.042030389143
12322,Sopain,fialed,4813.835667305394
12323,Spain,pending,982.6025340280087
12324,Spain,completed,3396.4788296796423
12325,Spain,completed,492.8226824132941
12326,Italy,pending,1506.2246830976617
12327,Spain,completed,830.3542324363398
12328,Spain,pending,545.6976301480342
12329,Sopain,completed,3525.0017243410575
12330,Spain,complete,4600.085720710467
12331,Italy,completed,1492.7585452390906
12332,Spain,failed,3834.1070347663876
12333,China,pending,3452.9423300853814
12334,Spain,completed,1183.4135423056146
12335,Italy,pending,198.88808979249228
12336,Spain,completed,4006.9786556600225
12337,Germany,completed,2545.3844570732113
12338,Spain,failed,2776.706975613068
12339,USA,pending,2077.083216098974
12340,Germqany,completed,4278.880678694633
12341,Germany,completed,2163.419333833734
12342,Belgium,fialed,671.8473400210124
12343,Sopain,completed,1480.968609591342
12344,Germqany,pending,2126.437990273864
12345,USA,pending,931.8728987743993
12346,Spain,completed,3924.941061061985
12347,Spain,pending,4467.6223110528435
12348,Germany,pending,415.10177565736336
12349,Spain,pending,220.47642566173877
12350,Spain,fialed,1433.8327957948918
12351,Belgium,pending,2845.043153181747
12352,Italy,fialed,1650.2429905954282
12353,Italy,completed,2319.497172638849
12354,Germany,completed,1476.5145747612005
12355,Germqany,completed,3589.803892257478
12356,USA,failed,2592.7254193426083
12357,USA,faoleid,393.86961189600834
12358,Spain,pending,2899.436664646103
12359,Spain,completed,3905.5115370156823
12360,Belgium,pending,4100.304219487793
12361,China,pending,2756.264170922385
12362,China,completed,579.8319894961771
12363,Spain,pending,1555.5716236035876
12364,Spain,pending,2915.4992877695813
12365,United States of America,completed,3779.6015359959733
12366,Spain,complete,4156.28349228923
12367,Spain,fialed,4443.384294186786
12368,Sopain,pending,2373.448923174575
12369,Germqany,pending,2458.962802169766
12370,Spain,completed,4372.43977978188
12371,Germany,pending,3925.26129680678
12372,Belguiun,completed,2544.082078577261
12373,Spain,failed,4313.971351584884
12374,United States of America,pwnding,4834.3022525011775
12375,Spain,pending,598.5114634139901
12376,Spain,completed,1266.1491930184884
12377,Spain,pwnding,2403.1750137456406
12378,Belgium,pending,4269.469622207624
12379,Spain,pending,2985.8961316748628
12380,Germqany,pending,3411.826545765216
12381,Spain,pending,1952.4981836819368
12382,Germany,fialed,578.4553104427727
12383,Belgium,pending,2810.2683577856005
